ID,B,Br_1,Br_1,C_1,C_2,C_3,C_4,Cl_1,Cl_2,Cl_3,F_1,F_2,H_1,H_2,I_1,I_2,I_3,N_1,N_2,N_3,N_4,O_1,O_2,O_3,P_1,P_2,P_3,S_1,S_2,S_3,S_4,Si_1,Si_2
boydwoo_str_m5_Al_o13_o22_sra_sym_83,0,0,0,0,152,50.667,40.533,0,0,0,0,0,244.454,44.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o12_o18_sra_sym_185,0,0,0,9.87,133.25,83.898,39.481,0,0,0,0,91.17,188.374,25.116,0,0,0,0,0,0,0,0.06,0.24,0,0,0,0,0,0,0,0,0,0
gmof_Zn2O8N2-irmof8_A-TePM_No127,0,0,0,43.218,410.571,302.526,86.436,0,0,0,0,0,890.692,323.888,0,0,0,157.627,78.813,0,0,0,20.75,0,0,0,0,0,0,0,0,0,0
BUVXOG01_FSR,0,0,0,0,50.642,70.898,0,0,0,0,0,0,373.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGOFON_FSR,0,0,0,0,911.576,277.436,79.267,0,0,0,0,0,826.6,0,0,0,0,0,12.59,0,0,0,91.25,0,0,0,0,0,0,0,0,0,0
ZESZEE_FSR,0,0,0,0,555.075,100.923,100.923,0,0,0,0,0,334.267,41.783,0,0,0,0,0,0,0,23.053,115.267,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o11_o22_pcu_sym_258,0,0,0,0,212.594,141.729,94.486,0,0,0,0,0,1166.846,205.914,0,0,0,0,19.86,0,0,0,427.77,47.53,0,0,0,0,0,0,0,0,0
core_BIBXUH_freeONLY,0,0,0,0,1670.533,334.107,0,0,0,0,0,0,430.338,53.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No402,0,0,0,0,193.79,116.274,77.516,0,0,0,0,146.54,61.336,92.004,0,0,0,101.56,0,0,0,2.094,8.376,0,0,0,0,0,67.2,0,0,0,0
boydwoo_str_m5_Al_o8_o16_sra_sym_63,0,0,0,0,120.709,62.978,20.993,0,0,0,0,0,384.964,24.836,0,1.747,3.493,0,0,0,0,0.148,0.591,0.222,0,0,0,0,0,0,0,0,0
EYOPOY_FSR,0,0,0,0,545.622,155.892,77.946,0,0,0,0,0,81.79,0,0,0,0,0,0.725,0.725,0,0,89.69,0,0,0,0,0,0,0,0,0,0
PENFIY_FSR,0,0,0,24.78,74.34,49.56,16.52,0,0,0,0,0,276.17,0,0,0,0,0,0,0,0,0,40.37,0,0,0,0,0,0,0,0,0,0
ESIFIX_FSR,0,0,0,70.738,70.738,70.738,212.215,0,0,0,0,0,139.455,139.455,0,0,0,82.98,82.98,0,0,0,51.32,0,0,0,0,0,0,0,0,0,0
HECQUB_FSR,0,0,0,0,822.493,411.247,616.87,0,0,0,0,0,703.15,0,0,0,0,99.163,132.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOBKAY_FSR,0,0,0,0,283.859,141.929,56.772,0,0,0,0,0,600.498,46.192,0,0,0,0,0,6.58,0,0,15,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No145,0,0,0,0,112.375,56.187,37.458,0,0,0,0,0,139.736,55.894,0,0,0,0,0,0,0,23.753,95.013,23.753,0,0,0,0,182.96,0,0,0,0
TOBJUR_FSR,0,0,0,0,289.1,144.55,57.82,0,0,0,0,0,598.826,46.064,0,0,0,0,0,6.12,0,0,17.16,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-fum_B-irmof10_B_No77,0,0,0,0,559.587,419.69,279.793,0,0,0,0,0,85.86,114.48,0,0,0,37.69,0,0,0,23.26,116.3,0,0,0,0,0,0,0,0,0,0
core_RUWZIU_freeONLY,0,0,0,0,35.62,12.863,3.958,0,0,0,0,0,474.953,55.877,0,0,0,0,0,0,0,0,52.667,26.333,0,0,0,0,0,0,0,0,0
boydwoo_str_m1_o1_o22_pcu_sym_74,0,0,698.48,0,72.089,78.096,36.045,0,0,0,0,0,204.53,0,0,0,0,0,0,0,0,5.281,63.368,10.561,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o13_o22_sra_sym_102,0,0,0,0,19.514,30.665,11.151,0,226.34,0,0,57.28,12.225,12.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No534,0,0,0,0,88.184,88.184,44.092,0,0,0,0,0,0.617,5.553,0,0,0,0,0,0,0,54.288,325.729,81.432,0,0,0,0,124.74,0,0,0,0
gmof_Al2O6-fum_B-irmof10_B_No41,0,0,0,0,537.017,214.807,214.807,0,0,179.4,0,0,63.294,42.196,0,0,0,0,0,0,0,15.175,75.875,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o5_o26_pcu_sym_96,0,0,0,0,321.166,91.762,137.643,0,0,0,0,0,667.544,166.886,0,0,0,0,0,15.24,0,0,583.594,97.266,0,0,0,0,0,0,0,0,0
OTOZII_FSR,0,0,0,79.695,796.947,318.779,159.389,0,0,0,0,0,972.56,0,0,0,0,0,41.66,0,0,0,83.45,0,0,0,0,0,0,0,0,0,0
EMAMIQ_FSR,0,0,0,0,40.878,24.527,8.176,0,0,0,0,0,83.416,20.854,0,0,0,0,0,0,0,0,135.03,0,0,0,0,0,0,0,0,0,0
BAKJII_FSR,0,0,0,0,574.533,328.305,164.152,0,0,0,0,0,427.77,0,0,0,0,0,6.01,0,0,0,135.82,0,0,0,0,0,0,0,0,0,0
core_OTIBUQ_freeONLY,0,0,0,0,859.68,322.38,107.46,0,0,0,0,0,600.448,150.112,0,0,0,0,164.8,0,0,1.104,4.416,0,0,0,0,0,0,0,0,0,0
core_ECAHEX_freeONLY,0,0,0,62.429,62.429,124.858,31.214,0,0,0,0,0,205.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tobacco_SR_xat_v1-4c_1anC_Ch_v2-6c_Zr_1_Ch_1B_4H_Ch_2x2x1,0,0,0,0,405.547,90.122,67.591,0,0,0,0,0,593.897,466.633,0,0,0,0,0,0,0,249.755,170.885,0,0,0,0,0,0,0,0,0,0
GACVIS_FSR,0,0,0,0,468.253,0,234.127,0,0,0,0,0,55.15,55.15,0,0,0,0,0,0,0,16.824,252.356,0,0,0,0,0,0,0,0,0,0
tobacco_SR_xat_v1-4c_1anC_Ch_v2-6c_Hf_1_Ch_1B_4H_Ch_2x2x1,0,0,0,0,307.238,68.275,51.206,0,0,0,0,0,454.014,356.726,0,0,0,0,0,0,0,160.184,150.476,0,0,0,0,0,0,0,0,0,0
LUPVEZ_FSR,0,0,0,0,404.605,323.684,80.921,0,0,0,0,0,716.38,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REBTIB_FSR,0,0,0,0,32.292,48.438,0,0,0,0,0,0,244.287,122.143,0,0,0,0,0,0,0,0,152.081,10.139,0,0,0,0,0,0,0,0,0
gmof_Al2O6-DPAC_B-fum_B_No168,0,0,0,0,703.035,200.867,200.867,0,0,0,0,0,407.94,203.97,0,0,0,118.82,0,0,0,6.398,25.592,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o4_o12_pcu_sym_23,0,0,0,13.274,146.012,132.738,53.095,0,0,0,0,0,393.67,0,0,135.82,0,0,0,0,0,0,40.112,10.028,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof16_B-irmof6_B_No78,0,0,0,0,100.624,100.624,50.312,0,0,0,0,298.08,186.752,46.688,0,0,0,0,0,0,0,0.96,3.84,0,0,0,0,0,0,0,0,0,0
LUMDIG_FSR,0,0,0,0,200.12,133.413,66.707,0,0,0,0,0,252.392,63.098,0,0,0,0,6.49,0,0,0,159.99,0,0,0,0,0,0,0,0,0,0
VUDZIE_FSR,0,0,0,0,56.78,12.618,15.772,0,0,0,0,0,300.171,70.629,0,0,0,0,0,0,0,0,347.63,0,0,0,0,0,0,0,0,0,0
core_TADYEE_freeONLY,0,0,0,0,40.961,31.859,0,0,0,0,0,0,452.8,113.2,0,0,0,0,67.51,0,0,0,121.71,0,0,0,0,0,0,0,0,0,0
LUSJOZ_FSR,0,0,0,0,374.246,37.425,74.849,0,0,0,0,0,302.11,0,0,0,0,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0,0,0
core_WEFCAN_freeONLY,0,0,0,0,375.164,468.956,0,0,0,0,0,0,328.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.92,0,0,0,0,0
gmof_Al2O6-ADC_B-BDC_B_No449,0,0,0,0,139.8,69.9,69.9,0,343.23,0,0,0,78.14,39.07,0,0,0,0,0,0,0,7.71,30.84,0,0,0,0,0,0,0,0,0,0
core_MATTUX_freeONLY,0,0,0,0,459.024,229.512,91.805,0,0,0,0,0,309.44,0,0,0,0,0,3.2,0,0,0,22,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m1_o9_o24_pcu_sym_87,0,0,0,0,475.416,122.688,92.016,0,0,0,0,0,1219.609,152.451,0,0,0,0,0,0,0,13.961,209.419,0,0,0,0,0,0,0,0,0,0
core_OTIPAK_freeONLY,0,0,0,0,353.065,264.799,88.266,0,0,0,0,0,72.92,0,0,0,0,0,0,0,0,0,86.1,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o10_o11_pcu_sym_227,0,0,0,47.798,238.988,143.393,191.191,0,0,0,0,0,322.944,88.076,0,0,0,0,4.355,4.355,0,0,319.345,31.935,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o12_o14_pcu_sym_106,0,0,0,0,425.315,193.325,154.66,0,0,0,0,0,604.535,109.915,0,150.9,0,0,62.53,0,0,0,179.91,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m1_o24_o24_pcu_sym_168,0,0,0,0,250.027,62.507,62.507,0,0,0,0,0,1623.822,499.638,0,0,0,187.22,0,0,0,6.736,80.834,0,0,0,0,0,0,0,0,0,0
tobacco_SR_ttv_v1-3c_triazine_Ch_v2-12c_Hf_1_Ch_1TrU_Ch_2x2x2,0,0,0,0,715.835,0,715.835,0,0,0,0,0,0,4.37,0,0,0,0,835.86,0,0,57.638,172.913,0,0,0,0,0,0,0,0,0,0
MOF-5_cooh_2_163_1,0,0,0,0,297.204,148.602,297.204,0,0,0,0,0,1079.4,0,0,0,0,0,0,0,0,51.642,619.698,0,0,0,0,0,0,0,0,0,0
QIWJAK_FSR,0,0,0,0,89.58,53.748,35.832,0,0,0,0,0,229.287,114.643,180.7,0,0,0,12.38,0,0,0,91.73,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o1_o4_pcu_sym_11,0,0,0,0,387.278,129.093,193.639,0,448.95,0,0,139.02,512.11,0,0,0,0,0,1.84,0,0,0,85.68,0,0,0,0,0,0,0,0,0,0
GUCXAE_FSR,0,0,0,0,155.44,90.673,25.907,0,0,0,0,0,470.266,128.254,0,0,0,0,71.49,0,0,0,82.14,0,0,0,0,0,0,0,0,0,0
ZOZHON_FSR,0,0,0,0,291.88,437.82,145.94,0,0,0,0,0,275.08,0,0,0,0,0,0,0,0,0,273.11,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o10_o13_pcu_sym_98,0,0,0,0,442.833,177.133,177.133,0,0,0,0,0,131.456,32.864,0,0,0,0,0,0,0,0,200.488,50.122,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o10_o23_pcu_sym_65,0,0,0,0,206.92,86.217,68.973,0,0,0,0,0,477.045,47.705,0,0,0,0,17.33,0,0,0,115.804,43.426,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o17_o22_pcu_sym_162,0,0,0,0,324.295,145.079,34.136,0,0,0,0,0,1203.91,0,0,0,0,0,0.31,0,0,0,43.668,27.292,0,0,0,0,0,0,0,0,0
tobacco_SR_ttv_v1-3c_triazine_Ch_v2-12c_Hf_1_Ch_1B_4H_Ch_2x2x2,0,0,0,0,1054.899,505.773,173.408,0,0,0,0,0,763.987,50.932,0,0,0,0,170.89,0,0,9.445,28.335,0,0,0,0,0,0,0,0,0,0
core_AVIMIC_freeONLY,0,0,0,0,12.513,3.754,2.503,0,0,0,0,0,137.18,0,0,0,0,0,0,0,0,0,75.544,18.886,0,0,0,0,0,0,0,0,0
RUVBER_FSR,0,0,0,0,389.206,233.523,77.841,0,0,0,0,0,14.28,0,0,0,0,0,77.96,0,0,0,87.92,0,0,0,0,0,0,0,0,0,0
XAYMES_FSR,0,0,0,0,44.375,35.5,26.625,0,0,0,0,0,305.08,305.08,0,0,0,46.3,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FITCUJ_FSR,0,0,0,0,85.576,64.182,64.182,0,0,0,0,0,173.388,77.062,0,0,0,11.64,46.56,0,0,0,383.37,0,0,0,0,0,0,0,0,0,0
VEJYIT_FSR,0,0,0,0,849.713,424.857,0,0,0,0,0,0,466.79,0,0,0,0,0,39.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o1_o10_pcu_sym_23,0,0,0,0,68.763,137.525,68.763,0,272.39,272.39,0,200.31,22.05,0,0,0,0,0,4.53,0,0,0,86.11,0,0,0,0,0,0,0,0,0,0
TIXCEK_FSR,0,0,0,0,356.556,534.834,0,0,0,0,0,0,253.494,28.166,0,0,0,0,40.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-BDC_B-TED_B_No6,0,0,0,0,279.553,76.242,101.656,0,0,0,0,63.35,501.229,66.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOWPEX01_FSR,0,0,0,28.131,196.916,56.262,28.131,0,0,0,0,0,276.89,0,0,0,0,0,0,0,0,0,100.51,0,0,0,0,0,0,0,0,0,0
pyrene_KUJZAT,0,0,0,0,117.041,63.022,18.006,0,0,0,0,0,244.403,44.437,0,0,0,0,0,0,0,0,231.11,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o12_o21_sra_sym_82,0,0,0,0,97.693,65.129,65.129,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,101.544,406.175,609.262,0,0,0,0,0,0,0,0,0
TIZCIR_FSR,0,0,0,0,106.295,106.295,0,0,0,0,0,0,78.33,78.33,71.68,0,0,10.42,0,0,0,0,0,0,0,0,0,82.68,0,0,0,0,0
ZOHQIZ_FSR,0,0,0,0,123.906,41.302,41.302,0,0,0,0,0,414.208,103.552,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0
TOBKEC_FSR,0,0,0,0,277.524,138.762,55.505,0,0,0,0,0,475.54,36.58,0,0,0,0,0,6.42,0,0,8.53,0,0,0,0,0,0,0,0,0,0
ASOYOY_FSR,0,0,0,0,394.152,165.959,41.49,0,0,0,0,0,461.94,0,0,0,0,0,4.713,2.357,0,0,10.17,0,0,0,0,0,0,0,0,0,0
tobacco_SR_ttv_v1-3c_triazine_Ch_v2-12c_Zr_1_Ch_1TrU_Ch_2x2x2,0,0,0,0,904.72,0,904.72,0,0,0,0,0,0,6.02,0,0,0,0,1062.82,0,0,72.502,217.507,0,0,0,0,0,0,0,0,0,0
EWESIJ_FSR,0,0,0,0,50.373,100.747,0,0,0,0,0,0,120.05,0,9.82,0,0,0,85.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAQFUL_FSR,0,0,0,0,321.53,204.61,0,0,0,0,0,0,663.65,0,0,0,0,0,0,0,0,0,242.553,121.277,0,0,0,0,0,0,0,0,0
tobacco_SR_ttv_v1-3c_B_Ch_v2-12c_Hf_1_Ch_1B_4Br_Ch_2x2x2,0,0,789.38,0,12.274,37.614,4.751,0,0,0,0,0,73.391,16.309,0,0,0,0,0,0,0,1.067,3.202,0,0,0,0,0,0,0,0,0,0
ADODUU_FSR,0,0,0,0,373.555,78.643,58.982,0,0,0,0,0,110.66,0,0,0,0,0,0,0,0,0,10.693,6.237,0,0,0,0,0,0,0,0,0
gmof_Al2O6-BDC_B-TED_B_No12,0,0,0,0,285.297,77.808,103.744,0,0,0,0,0,484.633,96.927,0,0,0,0,0,0,0,5.416,24.374,0,0,0,0,0,0,0,0,0,0
QIVLUE_FSR,0,0,0,0,267.844,133.922,267.844,0,0,0,0,0,57.6,0,0,0,0,0,0,0,0,0,614.07,0,0,0,0,0,0,0,0,0,0
CICYUJ_FSR,0,0,0,0,134.263,179.017,0,0,0,0,0,0,82.809,13.801,0,0,0,0,0,0,0,0,21.82,0,0,0,0,0,0,0,0,0,0
gmof_AlO6-pcn6_A_No10,0,0,0,0,6.119,2.447,1.224,0,0,0,0,0,24.225,8.075,0,0,0,0,0,0,0,0,722.24,0,0,0,0,0,0,0,8.91,0,0
LIVLUZ_FSR,0,0,0,0,330.061,198.037,66.012,0,0,0,0,0,99.04,0,0,0,0,0,75.86,37.93,0,0,129.04,0,0,0,0,0,0,0,0,0,0
gmof_AlO6-mof177-N_No6,0,0,0,0,21.286,10.643,5.321,0,884.12,0,0,0,70.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-AZO_B-fum_B_No111,0,0,0,0,476,357,238,0,0,0,0,0,162.619,271.031,0,0,0,211.287,105.643,0,0,2.674,10.696,0,0,0,0,0,0,0,0,0,0
TABQAR_FSR,0,0,0,0,373.164,159.927,53.309,0,0,0,0,0,640.61,0,0,0,0,0,16.11,0,0,0,126.7,0,0,0,0,0,0,0,0,0,0
JIVFUQ_FSR,0,0,0,0,319.273,159.637,0,0,0,0,0,0,136.213,272.427,0,0,0,0,0,0,0,0,402.41,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-ADC_B-BDC_B_No347,0,0,0,0,189.695,94.847,94.847,0,0,0,0,0,62.066,155.164,0,0,0,108.64,0,0,0,11.11,44.44,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o1_o13_sra_sym_84,0,0,0,0,432.374,99.779,133.038,0,0,0,0,0,156.24,34.72,0,434.93,0,0,0,0,0,6.016,24.064,0,0,0,0,0,0,0,0,0,0
tobacco_SR_ttv_v1-3c_B_Ch_v2-12c_Zr_1_Ch_1B_4Br_Ch_2x2x2,0,0,854.23,0,13.35,40.912,5.168,0,0,0,0,0,79.323,17.627,0,0,0,0,0,0,0,1.21,3.63,0,0,0,0,0,0,0,0,0,0
ADODOO_FSR,0,0,0,0,365.085,76.86,57.645,0,0,0,0,0,124.49,0,0,0,0,0,0,0,0,0,13.131,7.659,0,0,0,0,0,0,0,0,0
gmof_AlO6-mof177-N_No33,0,0,0,0,20.029,10.014,5.007,0,0,0,0,0,139.42,0,0,0,0,0,0,0,0,0,254.17,254.17,0,0,0,0,0,0,0,0,0
tobacco_SR_ttv_v1-3c_triazine_Ch_v2-12c_Zr_1_Ch_1B_4H_Ch_2x2x2,0,0,0,0,1240.758,620.379,206.793,0,0,0,0,0,915.844,61.056,0,0,0,0,203.03,0,0,12.107,36.322,0,0,0,0,0,0,0,0,0,0
core_IYICUP_freeONLY,0,0,0,0,301.797,452.695,150.898,0,0,0,0,0,298.97,0,0,0,0,0,0,0,0,0,277.58,0,0,0,0,0,0,0,0,0,0
core_AMODUC_freeONLY,0,0,0,246.791,1110.561,185.094,185.094,0,0,0,0,0,1815.35,0,0,0,0,0,0,0,0,0,52.39,0,0,0,0,0,0,25.46,0,0,0
gmof_Al2O6-irmof20_B-irmof7_B_No109,0,0,0,15.958,175.539,79.79,63.832,0,183.27,0,0,0,168.752,42.188,0,0,0,0,0,0,0,2.772,11.088,0,0,0,0,0,154.22,0,0,0,0
gmof_ZnN4-SiF6-irmof20_No2,0,0,0,0,146.99,73.495,73.495,0,0,0,178.373,59.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.05,0,0,0,0
boydwoo_str_m3_o11_o12_pcu_sym_260,0,0,0,108.558,325.673,217.115,217.115,0,0,0,0,458.28,1526.243,234.807,0,0,0,0,27.1,0,0,0,303.98,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o11_o28_pcu_sym_242,0,0,0,0,112.456,60.244,32.13,0,0,0,0,0,212.4,0,0,93.744,140.616,0,0,0,0,0,92.351,38.479,0,0,0,0,0,0,0,0,0
WOHBOL_FSR,0,0,0,0,0.371,0.185,0.124,0,0,0,0,0,424.49,0,0,0,0,0,0,0,0,0,19.41,0,0,0,0,0,0,0,0,0,0
GUYMAP_FSR,0,0,0,0,309.138,137.395,68.697,0,0,0,0,0,497.81,0,0,0,0,0,0,0,0,0,24.25,0,0,0,0,0,301.23,0,0,0,0
boydwoo_str_m3_o11_o16_pcu_sym_105,0,0,0,0,604.647,192.388,109.936,0,0,0,0,0,771.812,64.318,0,0,0,0,10.92,0,0,0,62.89,0,0,0,0,0,0,0,0,0,0
FESCEN_FSR,0,0,0,0,137.426,79.562,28.932,0,0,0,0,0,255.609,42.601,0,0,0,0,0,0,0,0,114.13,0,0,0,0,0,0,0,0,0,0
MOYYEF_FSR,0,0,0,0,283.043,56.609,56.609,0,0,0,0,0,524.864,131.216,0,0,0,0,0,0,0,0,257.62,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o12_o21_sra_sym_78,0,0,0,0,78.745,121.696,57.269,0,0,0,0,0,0,7.04,0,0,0,0,391.2,0,195.6,42.254,169.017,84.509,0,0,0,0,0,0,0,0,0
boydwoo_str_m1_o10_o10_pcu_sym_136,0,0,0,0,201.3,13.42,80.52,0,0,0,0,0,808.09,0,0,0,0,0,0,0,0,16.782,201.384,33.564,0,0,0,0,0,0,0,0,0
MOF-5_cooh_2_882_1,0,0,0,0,423.237,162.783,195.34,0,0,0,0,593.41,341.41,0,0,0,0,0,0,0,0,34.435,413.225,0,0,0,0,0,0,0,0,0,0
core_BARZUR_freeONLY,0,0,0,0,51.567,34.378,8.595,0,0,0,0,0,181.78,0,0,0,0,0,56.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m1_o10_o10_pcu_sym_204,0,0,0,0,195.143,83.633,167.265,0,0,0,0,0,519.108,346.072,0,0,0,20.067,40.133,0,0,23.148,277.782,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o14_o24_pcu_sym_219,0,0,0,27.027,513.509,189.187,108.107,0,0,0,0,0,634.06,0,0,0,0,0,5.96,0,0,0,74.33,0,0,0,0,0,0,0,0,0,0
HIQVUZ_FSR,0,0,0,0,259.08,0,86.36,0,0,0,0,0,189.887,94.943,0,0,0,0,0,0,0,0,227.39,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o1_o16_pcu_sym_154,0,0,0,0,349.365,209.619,139.746,0,0,0,0,0,172.363,26.517,0,0,0,0,5.167,0,2.583,0,497.271,82.879,0,0,0,0,0,0,0,0,0
AGEDIC_FSR,0,0,0,0,322.665,0,322.665,0,0,0,0,0,166.84,83.42,0,0,0,0,0,0,0,10.162,40.648,0,0,0,0,0,0,0,0,0,0
QEZBUV_FSR,0,0,0,0,34.434,20.086,2.87,82.4,0,0,0,0,322.19,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o12_o29_pcu_sym_116,0,0,0,0,249.1,184.117,86.643,0,0,0,0,0,294.46,0,0,51.464,360.246,0,0,0,0,0,167.837,27.973,0,0,0,0,0,0,0,0,0
boydwoo_str_m1_o9_o11_pcu_sym_191,0,0,0,0,605.692,227.135,151.423,0,189.52,0,0,0,908.507,110.793,0,0,0,0,0,0,0,24.16,338.24,12.08,0,0,0,0,0,0,0,0,0
SATBEW_FSR,0,2.43,0,0,56.75,113.5,0,0,0,0,0,0,107.2,0,0,0,0,0,75.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAMRIN02_FSR,0,0,0,0,534.519,106.904,213.808,0,0,0,0,0,73.584,110.376,0,0,0,33.12,0,0,0,17.061,153.549,0,0,0,0,0,0,0,0,0,0
GECXUH01_FSR,0,0,0,0,304.995,0,101.665,0,0,0,0,0,129.487,64.743,0,0,0,0,0,0,0,0,290.78,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o11_o29_pcu_sym_62,0,0,0,0,436.916,298.942,91.982,0,0,0,0,0,801.682,47.158,0,0,0,0,1.38,0,0,0,385.626,257.084,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o18_o25_sra_sym_33,0,0,0,0,138.863,74.772,28.485,0,0,0,0,0,147.064,164.366,0,0,0,0,0,0,0,53.787,578.213,0,0,0,0,0,0,0,9.47,0,0
ZOHPIY_FSR,0,0,0,0,178.944,59.648,59.648,0,0,0,0,0,494.592,123.648,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o13_o22_pcu_sym_4,0,0,0,0,485.447,242.724,97.089,0,0,0,0,0,1244.737,40.153,0,0,0,0,0,0,0,0,284.59,0,0,0,0,0,0,0,2.51,0,0
boydwoo_str_m5_Al_o25_o25_sra_sym_14,0,0,0,0,0.536,0.107,0.107,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,16.491,362.809,0,0,0,0,0,0,0,14.16,0,0
boydwoo_str_m3_o4_o28_pcu_sym_136,0,0,0,0,543.485,253.626,144.929,0,493.38,0,0,0,1119.11,0,0,0,0,0,0,0,0,0,387.91,0,0,0,0,0,0,0,0,0,0
ADODII_FSR,0,0,0,0,411.189,86.566,64.925,0,0,0,0,0,133.23,0,0,0,0,0,0,0,0,0,18.922,11.038,0,0,0,0,0,0,0,0,0
XUVHEB_FSR,0,0,0,0,420.122,148.278,74.139,0,0,0,0,0,403.06,0,0,0,0,0,1.15,0,0,0,44.15,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o2_o10_pcu_sym_10,0,0,0,0,587.724,320.577,106.859,0,0,0,0,0,1669.37,0,0,0,0,0,0,0,0,0,107.53,0,0,0,0,0,0,0,0,0,0
VUWZEV_FSR,0,0,0,12.093,48.371,30.232,24.185,0,0,0,0,0,481.521,87.549,0,0,0,0,3.83,0,0,0,44.78,0,0,0,0,0,0,0,0,0,0
PAVREK_FSR,0,0,0,0,119.996,159.994,0,0,0,0,0,0,60.951,10.159,0,0,0,0,0,0,0,0,16.49,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m5_Al_o19_o22_sra_sym_26,0,0,0,0,216.621,108.311,86.648,0,0,0,0,0,551.84,68.98,0,0,0,0,0,0,0,22.276,89.105,11.138,0,0,0,0,0,0,0,0,0
core_ERIWAF_freeONLY,0,0,0,0,226.614,158.63,90.646,0,0,0,0,0,227.65,227.65,0,0,0,135.82,271.64,0,0,0,287.63,0,0,0,0,0,0,0,0,0,0
gmof_Al2O6-irmof14_B-irmof7_B_No2,0,0,177.08,0,236.804,125.367,55.719,0,0,0,0,0,176.091,29.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGOFUT_FSR,0,0,0,0,718.634,264.76,75.646,0,0,0,0,0,533.129,33.321,0,0,0,0,0,0,0,0.928,3.712,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o2_o18_pcu_sym_80,0,0,0,0,231.502,157.842,21.046,0,0,0,0,0,1175.71,0,0,0,0,0,0,0,0,0,7.406,5.554,0,0,0,0,0,0,0,0,0
WIFBAQ_FSR,0,0,0,16.46,49.38,65.84,16.46,0,0,0,0,0,292.2,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0
boydwoo_str_m3_o11_o16_pcu_sym_108,0,0,0,0,439.189,206.677,129.173,0,0,0,0,0,720.692,55.438,0,0,0,4.605,4.605,0,0,0,78.808,19.702,0,0,0,0,0,0,0,0,0
