ID,B,Br_1,Br_1,C_1,C_2,C_3,C_4,Cl_1,Cl_2,Cl_3,F_1,F_2,H_1,H_2,I_1,I_2,I_3,N_1,N_2,N_3,N_4,O_1,O_2,O_3,P_1,P_2,P_3,S_1,S_2,S_3,S_4,Si_1,Si_2
EBAMOL_FSR,0,0,0,0,303.38,182.028,121.352,0,0,0,0,0,427.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADVUJ_FSR,0,0,0,0,0,0,0,0,0,0,0,0,145.95,0,27.99,0,0,0,0,0,0,0,0,0,0,0,0,0,17.81,0,0,0,0
JESTIN_FSR,0,0,0,0,103.582,36.558,18.279,0,0,0,0,0,68.444,4.026,0,0,0,0,0,0,0,0,170.31,0,0,0,0,0,0,0,0,0,0
core_NIYJAI_freeONLY,0,104.79,0,27.748,64.746,55.496,0,0,0,0,0,0,234.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.27,0,0,0,0,0
FAVGUH_FSR,0,0,0,3.965,6.938,8.92,5.947,0,0,0,0,0,152.13,27.66,0,0,0,0,0,0,0,11.791,70.747,23.582,0,0,0,0,0,0,0,0,0
KINDOC_FSR,0,0,0,30.217,64.75,60.433,25.9,0,0,0,0,0,368.019,29.441,0,0,0,0,0,0,0,25.206,176.444,0,0,0,0,0,0,0,0,0,0
EKOKIA_FSR,0,0,0,0,120.184,160.245,40.061,0,0,0,0,0,17.975,9.805,0,0,0,0,99.58,0,0,0,49.45,0,0,0,0,0,0,0,0,0,0
BOXRAK_FSR,0,0,0,0,128.99,103.192,38.697,0,0,0,0,0,247.88,0,0,0,0,0,43.85,0,0,0,9,0,0,0,0,0,0,0,0,0,0
core_NEJSOM_freeONLY,0,0,0,0,362.976,120.992,80.661,0,0,0,0,0,303.64,0,0,0,0,0,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0,0
XOPMIA_FSR,0,0,0,0,292.718,209.085,41.817,0,0,0,0,0,336.87,0,0,0,0,0,0.99,0,0,0,87.88,21.97,0,0,0,0,0,0,0,0,0
core_REHVEH_freeONLY,0,0,0,0,129.527,99.636,19.927,0,0,0,0,0,172.13,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
UKOHIN_FSR,0,0,0,0,1108.259,474.968,158.323,0,0,0,0,0,907.3,0,0,0,0,0,23.16,0,0,0,188.89,0,0,0,0,0,0,0,0,0,0
